date,time,article,old_price,new_price,price
2026-02-12,10:25:45,GOLD 14 KT 1G,9316.0,9246.0,
2026-02-12,10:25:45,GOLD 14 KT 1G,,,9246.0
2026-02-12,10:25:45,GOLD 18 KT 1G,11979.0,11889.0,
2026-02-12,10:25:45,GOLD 18 KT 1G,,,11889.0
2026-02-12,10:25:45,GOLD 22 KT 1G,14630.0,14520.0,
2026-02-12,10:25:45,GOLD 22 KT 1G,,,14520.0
2026-02-12,10:25:45,GOLD 24 KT 1G,15972.0,15852.0,
2026-02-12,10:25:45,GOLD 24 KT 1G,,,15852.0
2026-02-12,00:00:00,GOLD 14 KT 1G,,,9316.0
2026-02-12,00:00:00,GOLD 18 KT 1G,,,11979.0
2026-02-12,00:00:00,GOLD 22 KT 1G,,,14630.0
2026-02-12,00:00:00,GOLD 24 KT 1G,,,15972.0
2026-02-12,00:00:00,SILVER 1G,,,300.0
2026-02-11,18:35:23,GOLD 14 KT 1G,9253.0,9316.0,
2026-02-11,18:35:23,GOLD 14 KT 1G,,,9316.0
2026-02-11,18:35:23,GOLD 18 KT 1G,11897.0,11979.0,
2026-02-11,18:35:23,GOLD 18 KT 1G,,,11979.0
2026-02-11,18:35:23,GOLD 22 KT 1G,14530.0,14630.0,
2026-02-11,18:35:23,GOLD 22 KT 1G,,,14630.0
2026-02-11,18:35:23,GOLD 24 KT 1G,15862.0,15972.0,
2026-02-11,18:35:23,GOLD 24 KT 1G,,,15972.0
2026-02-11,10:30:58,GOLD 14 KT 1G,9268.0,9253.0,
2026-02-11,10:30:58,GOLD 14 KT 1G,,,9253.0
2026-02-11,10:30:58,GOLD 18 KT 1G,11917.0,11897.0,
2026-02-11,10:30:58,GOLD 18 KT 1G,,,11897.0
2026-02-11,10:30:58,GOLD 22 KT 1G,14555.0,14530.0,
2026-02-11,10:30:58,GOLD 22 KT 1G,,,14530.0
2026-02-11,10:30:58,GOLD 24 KT 1G,15890.0,15862.0,
